Model,Crema-D,DementiaBank,Savee,Voxforge,Speech_commands,mask_challenge,ESC-50_HS,Voxceleb,Crema-D_N,DementiaBank_N,Savee_N,Voxforge_N,Speech_commands_N,mask_challenge_N,ESC-50_HS_N,Voxceleb_N,ModelPath,PerfLab_SessionID,MV3Size,Avg_Pool,Alpha,Compression,Quantized-Aware_Trained,Size(MB),Pixel4 CPU Latency(ms),Pixel4 GPU Latency(ms),Pixel1 CPU Latency(ms),Pixel1 GPU Latency(ms),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 35,0.6587,0.6765,0.675,0.6947,0.7086,0.6179,0.8636,0.3088,0.406932632,-0.003685842,0.595260667,0.23131171,0.940473907,0.110772007,0.865620394,0.467309278,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_35.tflite,3391,tiny,TRUE,0.5,FALSE,FALSE,5.316917419,1.347215924,3.583802867,2.406345411,11.46919318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 36,0.3985,0.6765,0.3583,0.5285,0.1953,0.5449,0.4848,0.0007,-0.646975293,-0.003685842,-0.687493522,-0.441860839,-1.138584271,-0.184905466,-0.668662165,-0.780611674,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_36.tflite,3378,large,FALSE,1.5,TRUE,TRUE,10.89346313,4.833376812,11.03405495,19.06175472,25.77432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 37,0.536,0.6667,0.5667,-1,-1,0.6029,0.6364,0.001,-0.090048546,-0.043379531,0.156604908,-2.582484737,-1.929622771,0.050016362,-0.054625111,-0.779396561,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_37.tflite,3388,large,FALSE,2,TRUE,FALSE,69.82167435,21.81612,18.25347273,23.04702,32.7373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 38,0.3972,0.6863,0.35,0.5285,0.1773,0.5449,0.4242,0.0007,-0.652240782,0.036007846,-0.721111646,-0.441860839,-1.211491045,-0.184905466,-0.914114972,-0.780611674,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_38.tflite,3392,large,FALSE,2,TRUE,TRUE,18.25195313,10.05447,18.37585455,24.79894,34.53422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 39,0.6157,0.6961,0.625,0.6226,0.5145,0.6014,0.7273,0.2912,0.232766449,0.075701534,0.392741849,-0.060720425,0.154295858,0.043940797,0.313554099,0.396022654,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_39.tflite,3379,large,TRUE,0.5,TRUE,FALSE,6.725875854,3.124209375,5.183170984,2.697851351,10.29459184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 40,0.4428,0.6765,0.3833,0.5285,0.1755,0.5449,0.4848,0.0007,-0.467543621,-0.003685842,-0.586234114,-0.441860839,-1.218781723,-0.184905466,-0.668662165,-0.780611674,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_40.tflite,3389,large,TRUE,0.5,TRUE,TRUE,1.962112427,2.083258333,5.206947917,3.44292069,12.7059375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 41,0.3323,0.6471,0.2583,0.5285,0.0849,0.5449,0.1212,0.0007,-0.915110207,-0.122766907,-1.092531157,-0.441860839,-1.58574582,-0.184905466,-2.141379005,-0.780611674,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_41.tflite,3240,large,TRUE,0.75,TRUE,FALSE,11.68717575,2.028402439,6.218503106,4.75252381,10.79098925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 42,0.59,0.7157,0.525,0.5772,0.3777,0.611,0.6667,0.0019,0.128671777,0.15508891,-0.012295785,-0.244607511,-0.399795626,0.08282441,0.068101292,-0.775751223,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_42.tflite,3301,large,TRUE,1,TRUE,FALSE,17.35942459,6.925627586,6.834163265,6.468922581,11.46617045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 43,0.4158,0.6765,0.3917,0.5285,0.2239,0.5449,0.5152,0.0007,-0.576903782,-0.003685842,-0.552210952,-0.441860839,-1.022743508,-0.184905466,-0.545530724,-0.780611674,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_43.tflite,32200,large,TRUE,1,TRUE,TRUE,4.773986816,4.109245902,6.908565517,8.362608333,13.67483784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 44,0.6125,0.6765,0.6667,0.6485,0.4789,0.6091,0.7424,0.0946,0.219805245,-0.003685842,0.561642543,0.044184323,0.01010246,0.075128695,0.374714781,-0.400281335,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_44.tflite,32178,large,TRUE,1.25,TRUE,FALSE,26.82438278,9.850627451,8.742686957,9.903009901,17.37732759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 45,0.6665,0.6765,0.6083,0.7173,0.7053,0.6274,0.803,0.3193,0.438525568,-0.003685842,0.325100564,0.322850215,0.927107665,0.149250582,0.620167588,0.509838229,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_45.tflite,3270,tiny,TRUE,0.5,FALSE,TRUE,1.471481323,0.880733451,4.098709016,2.146467672,9.378093458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 46,0.4248,0.6667,0.35,0.5285,0.1834,0.5449,0.4394,0.0007,-0.540450395,-0.043379531,-0.721111646,-0.441860839,-1.18678375,-0.184905466,-0.852549251,-0.780611674,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_46.tflite,3302,large,TRUE,1.25,TRUE,TRUE,7.237564087,3.76343609,9.039171171,12.2150122,21.88892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 47,0.2847,0.6569,0.2833,0.5285,0.0834,0.5449,0.1212,0.0007,-1.107908121,-0.083073219,-0.991271748,-0.441860839,-1.591821384,-0.184905466,-2.141379005,-0.780611674,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_47.tflite,32179,large,TRUE,1.5,TRUE,FALSE,37.43234634,13.29160526,10.98046154,24.0492,23.20076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 48,0.4897,0.6863,0.5,0.5576,0.3378,0.5796,0.5606,0.0007,-0.27758097,0.036007846,-0.113555194,-0.323994887,-0.561405642,-0.044357407,-0.361643638,-0.780611674,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_48.tflite,3271,large,TRUE,2,TRUE,FALSE,64.8350029,21.54468,16.89633333,38.26298,31.59486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 49,0.4267,0.6667,0.3917,0.5285,0.1877,0.5449,0.4697,0.0007,-0.53275468,-0.043379531,-0.552210952,-0.441860839,-1.169367131,-0.184905466,-0.729822848,-0.780611674,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_49.tflite,3231,large,TRUE,2,TRUE,TRUE,17.03115845,10.3158866,16.45411475,27.74962,31.15508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 50,0.6838,0.6863,0.6583,0.7037,0.6994,0.6332,0.8636,0.349,0.508597078,0.036007846,0.527619382,0.267765097,0.903210445,0.172742765,0.865620394,0.630134407,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_50.tflite,3303,tiny,TRUE,0.75,FALSE,FALSE,6.336654663,1.669453177,3.875631783,1.586980861,8.327383333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 51,0.644,0.6863,0.6917,0.6686,0.6677,0.6186,0.8182,0.328,0.3473921,0.036007846,0.662901951,0.125596887,0.774813514,0.11360727,0.681733308,0.545076504,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_51.tflite,32184,tiny,TRUE,0.75,FALSE,TRUE,1.756942749,0.615850959,3.740464419,2.991765766,11.2031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 52,0.6922,0.6765,0.6083,0.7169,0.7027,0.6361,0.803,0.3525,0.54262024,-0.003685842,0.325100564,0.321230065,0.916576687,0.184488856,0.620167588,0.644310724,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_52.tflite,32180,tiny,TRUE,1,FALSE,FALSE,7.46465683,2.047622951,4.453222222,1.915103846,13.19496053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 53,0.6465,0.6765,0.65,0.6652,0.6693,0.6201,0.7879,0.3216,0.357518041,-0.003685842,0.494001258,0.111825608,0.781294117,0.119682835,0.559006905,0.519154095,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_53.tflite,3272,tiny,TRUE,1,FALSE,TRUE,2.066162109,1.328909574,3.91109375,2.360334123,11.68784884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 54,0.6632,0.6765,0.6333,0.7458,0.6955,0.6372,0.7879,0.3459,0.425159326,-0.003685842,0.426359973,0.438285941,0.887413977,0.18894427,0.559006905,0.61757824,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_54.tflite,32201,tiny,TRUE,1.25,FALSE,FALSE,10.35046387,2.87915562,4.344526087,2.718989101,15.64029688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 55,0.6735,0.6961,0.625,0.7672,0.7452,0.6255,0.7879,0.3585,0.466878202,0.075701534,0.392741849,0.524963995,1.088717681,0.141554867,0.559006905,0.668612982,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_55.tflite,3232,tiny,FALSE,0.5,FALSE,TRUE,6.471557617,0.862521212,4.153526971,2.458418719,30.14928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 56,0.3136,0.6765,0.3167,0.5425,0.1409,0.5117,0.4697,0.0018,-0.990852245,-0.003685842,-0.855989178,-0.38515557,-1.358924744,-0.319377961,-0.729822848,-0.77615626,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_56.tflite,3304,tiny,TRUE,1.25,FALSE,TRUE,2.826828003,1.047252101,4.091922131,3.301748344,10.32814433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 57,0.6864,0.6765,0.5833,0.732,0.7476,0.6327,0.803,0.3684,0.519128057,-0.003685842,0.223841156,0.382390748,1.098438584,0.170717577,0.620167588,0.708711708,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_57.tflite,32181,tiny,TRUE,1.5,FALSE,FALSE,13.73384857,4.455635556,4.689521127,6.602421053,11.11253333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 58,0.2237,0.6765,0.2583,0.5435,0.0945,0.506,0.3636,0.001,-1.354981078,-0.003685842,-1.092531157,-0.381105193,-1.546862207,-0.342465106,-1.159567778,-0.779396561,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_58.tflite,3273,tiny,TRUE,1.5,FALSE,TRUE,3.715545654,1.358832425,4.537158371,5.634095506,18.06980357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 59,0.6787,0.6765,0.6417,0.7534,0.7485,0.636,0.803,0.4099,0.487940159,-0.003685842,0.460383134,0.469068801,1.102083923,0.184083819,0.620167588,0.876802326,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_59.tflite,3305,tiny,TRUE,2,FALSE,FALSE,21.26431656,2.487378109,6.052381818,5.471081967,22.39194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 60,0.2429,0.6765,0.275,0.5419,0.1006,0.5075,0.3182,0.001,-1.277213852,-0.003685842,-1.024889872,-0.387585796,-1.522154911,-0.336389542,-1.343454864,-0.779396561,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_60.tflite,38361,tiny,TRUE,2,FALSE,TRUE,5.666732788,2.079254167,6.202432099,6.116493902,23.19018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 61,0.5835,0.6667,0.525,0.5984,0.4589,0.5993,0.697,0.0672,0.102344331,-0.043379531,-0.012295785,-0.158739532,-0.070905066,0.035435007,0.190827695,-0.511261647,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_61.tflite,3274,small,FALSE,0.5,FALSE,FALSE,50.22280502,3.74793633,6.161515337,8.344883333,60.22878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 62,0.6697,0.6863,0.675,0.7534,0.7665,0.6343,0.7727,0.3702,0.451486772,0.036007846,0.595260667,0.469068801,1.174990697,0.177198179,0.497441185,0.716002385,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_62.tflite,32185,small,FALSE,0.5,FALSE,TRUE,12.7467041,1.87926742,6.27518125,2.983677612,44.89668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 63,0.5707,0.6765,0.4083,-1,0.3591,0.5949,0.6364,0.0012,0.050499514,-0.003685842,-0.484974705,-2.582484737,-0.475132626,0.017613351,-0.054625111,-0.778586486,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_63.tflite,3306,small,FALSE,0.75,FALSE,FALSE,51.92674255,6.574828947,7.082295775,8.735869565,37.02378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 64,0.6645,0.6765,0.7083,0.7463,0.747,0.6251,0.7727,0.3498,0.430424815,-0.003685842,0.730138199,0.440311129,1.096008359,0.139934716,0.497441185,0.633374708,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_64.tflite,3319,small,FALSE,0.75,FALSE,TRUE,13.21766663,1.766012389,6.716577181,4.607645161,99.2356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 65,0.6979,0.6863,0.6583,0.7889,0.7865,0.6343,0.8333,0.4006,0.565707385,0.036007846,0.527619382,0.612857162,1.255998224,0.177198179,0.742893991,0.839133826,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_65.tflite,3275,small,FALSE,1,FALSE,FALSE,53.83361435,7.12970922,6.918275862,9.629317308,38.97316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 66,0.6799,0.6765,0.6583,0.7197,0.7548,0.6209,0.803,0.3805,0.492800611,-0.003685842,0.527619382,0.332571119,1.127601294,0.122923136,0.620167588,0.757721262,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_66.tflite,3307,tiny,FALSE,0.75,FALSE,FALSE,26.33672333,2.15995671,4.194058577,3.543365248,31.73138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 67,0.669,0.6863,0.5833,0.7414,0.7636,0.6296,0.803,0.3892,0.448651508,0.036007846,0.223841156,0.420464285,1.163244606,0.15816141,0.620167588,0.792959536,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_67.tflite,3322,small,FALSE,1,FALSE,TRUE,13.73452759,1.915086372,6.682946667,5.212578125,45.8346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 68,0.6735,0.6765,0.7083,0.788,0.7589,0.6465,0.8485,0.399,0.466878202,-0.003685842,0.730138199,0.609211823,1.144207837,0.22661277,0.804459712,0.832653224,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_68.tflite,3276,small,FALSE,1.25,FALSE,FALSE,69.05578232,5.390870968,9.172825688,13.01935065,51.37512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 69,0.66,0.6765,0.6833,0.7539,0.7599,0.6309,0.7879,0.3921,0.412198121,-0.003685842,0.62887879,0.47109399,1.148258214,0.163426899,0.559006905,0.804705627,/cns/lu-d/home/srjoglekar/noss/distilled_tflite/model_69.tflite,3308,small,FALSE,1.25,FALSE,TRUE,17.59635925,2.51319598,9.296574074,5.929538462,56.3042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
